Year,Longitude,Latitude,Data
1997,-156.6,71.32,451.96
1997,-155.58,19.53,548.23
1997,-154.82,19.52,441.69
1997,-123.9689,45.478,380.63
1997,-119.3533,76.247,385.74
1997,-113.7181,39.9018,445.48
1997,-109.45,-27.15,365.32
1997,-105.58,40.05,371.64
1997,-90.27,45.93,426.63
1997,-80.2,25.67,372.82
1997,-68.3106,-54.8484,386.86
1997,-64.8788,32.2647,371.17
1997,-64.6476,32.368,369.82
1997,-64.0527,-64.7742,365.19
1997,-62.5072,82.4508,372.65
1997,-59.432,13.165,459.33
1997,-38.422,72.5962,368.2
1997,-27.38,38.77,370.12
1997,-26.21,-75.605,415.47
1997,-24.8,-89.98,411.21
1997,-20.2884,63.3998,374.38
1997,-16.48,28.3,367.75
1997,-14.4,-7.9667,446.79
1997,-9.9,53.33,381.35
1997,2.0,66.0,376.53
1997,5.6322,23.2625,435.34
1997,11.8883,78.9067,495.17
1997,14.889,36.048,375.43
1997,15.03,-23.58,366.3
1997,16.0,55.0,356.18
1997,16.6521,46.9559,448.55
1997,16.95,55.43,392.46
1997,18.53,54.53,393.15
1997,28.6647,44.1776,401.28
1997,34.7809,30.8595,441.05
1997,39.575,-69.0,362.47
1997,51.8478,-46.4337,363.1
1997,55.5325,-4.6824,676.43
1997,75.57,44.45,375.55
1997,77.88,43.25,369.3
1997,100.92,36.27,370.31
1997,111.0956,44.4516,372.67
1997,126.13,36.73,519.7
1997,144.656,13.386,526.73
1997,144.68,-40.68,364.79
1997,174.1,52.72,406.13
1998,-177.37,28.22,372.0
1998,-170.57,-14.25,367.05
1998,-162.72,55.2,582.7
1998,-157.1518,1.7,367.25
1998,-156.6,71.32,383.51
1998,-155.58,19.53,393.55
1998,-154.82,19.52,486.29
1998,-123.9689,45.478,375.01
1998,-113.7181,39.9018,374.47
1998,-109.45,-27.15,422.02
1998,-105.58,40.05,371.87
1998,-90.27,45.93,380.97
1998,-80.2,25.67,389.34
1998,-68.3106,-54.8484,365.21
1998,-64.8788,32.2647,373.66
1998,-64.6476,32.368,372.73
1998,-64.0527,-64.7742,506.29
1998,-62.5072,82.4508,378.52
1998,-59.432,13.165,378.03
1998,-38.422,72.5962,371.24
1998,-27.38,38.77,369.83
1998,-27.08,38.75,371.47
1998,-26.21,-75.605,380.56
1998,-24.8,-89.98,705.63
1998,-20.2884,63.3998,385.2
1998,-16.48,28.3,484.46
1998,-14.4,-7.9667,426.21
1998,-9.9,53.33,397.12
1998,2.0,66.0,421.03
1998,5.6322,23.2625,407.3
1998,11.8883,78.9067,372.99
1998,14.889,36.048,552.74
1998,15.03,-23.58,369.14
1998,16.6521,46.9559,617.28
1998,16.67,55.5,478.3
1998,16.95,55.43,395.23
1998,28.6647,44.1776,401.73
1998,34.7809,30.8595,568.06
1998,39.575,-69.0,370.27
1998,51.8478,-46.4337,365.78
1998,55.5325,-4.6824,642.31
1998,73.47,4.97,373.02
1998,75.57,44.45,380.79
1998,77.88,43.25,373.01
1998,100.92,36.27,375.26
1998,111.0956,44.4516,444.03
1998,126.13,36.73,460.24
1998,144.656,13.386,383.57
1998,144.68,-40.68,365.49
1998,174.1,52.72,374.45
1999,-177.37,28.22,381.15
1999,-170.57,-14.25,368.4
1999,-162.72,55.2,404.54
1999,-157.1518,1.7,372.71
1999,-156.6,71.32,383.32
1999,-155.58,19.53,477.23
1999,-154.82,19.52,375.74
1999,-123.73,38.95,392.77
1999,-113.7181,39.9018,378.68
1999,-109.45,-27.15,373.07
1999,-105.58,40.05,374.37
1999,-90.27,45.93,404.71
1999,-80.2,25.67,397.33
1999,-68.3106,-54.8484,368.5
1999,-64.8788,32.2647,375.51
1999,-64.6476,32.368,374.76
1999,-64.0527,-64.7742,1030.7
1999,-62.5072,82.4508,384.41
1999,-59.432,13.165,387.09
1999,-27.08,38.75,373.65
1999,-26.21,-75.605,376.9
1999,-24.8,-89.98,367.08
1999,-20.2884,63.3998,376.04
1999,-16.48,28.3,381.16
1999,-14.4,-7.9667,453.17
1999,-9.9,53.33,379.41
1999,2.0,66.0,710.93
1999,5.6322,23.2625,371.95
1999,11.8883,78.9067,431.69
1999,14.889,36.048,372.48
1999,15.03,-23.58,369.43
1999,16.6521,46.9559,403.62
1999,16.67,55.5,469.73
1999,28.6647,44.1776,448.02
1999,34.7809,30.8595,381.06
1999,39.575,-69.0,395.56
1999,51.8478,-46.4337,396.46
1999,55.5325,-4.6824,374.77
1999,73.47,4.97,371.39
1999,75.57,44.45,381.54
1999,77.88,43.25,378.93
1999,100.92,36.27,374.81
1999,111.0956,44.4516,375.5
1999,126.13,36.73,398.01
1999,144.656,13.386,371.83
1999,144.68,-40.68,427.21
1999,174.1,52.72,445.59
1999,174.871,-41.4083,366.44
2000,-177.37,28.22,373.96
2000,-170.57,-14.25,372.84
2000,-162.72,55.2,447.45
2000,-157.1518,1.7,385.03
2000,-156.6,71.32,440.81
2000,-155.58,19.53,503.86
2000,-154.82,19.52,381.07
2000,-123.73,38.95,413.38
2000,-113.7181,39.9018,377.38
2000,-109.45,-27.15,434.95
2000,-105.58,40.05,377.85
2000,-90.27,45.93,576.71
2000,-80.2,25.67,387.36
2000,-68.3106,-54.8484,368.3
2000,-64.8788,32.2647,464.54
2000,-64.6476,32.368,377.87
2000,-64.0527,-64.7742,638.9
2000,-62.5072,82.4508,376.59
2000,-59.432,13.165,372.82
2000,-38.422,72.5962,373.34
2000,-27.08,38.75,375.03
2000,-26.21,-75.605,374.74
2000,-24.8,-89.98,382.37
2000,-20.2884,63.3998,377.11
2000,-16.48,28.3,378.56
2000,-14.4,-7.9667,372.7
2000,-9.9,53.33,379.55
2000,2.0,66.0,1383.34
2000,5.6322,23.2625,373.71
2000,11.8883,78.9067,578.05
2000,15.03,-23.58,369.28
2000,16.6521,46.9559,404.5
2000,16.67,55.5,460.31
2000,28.6647,44.1776,400.69
2000,34.7809,30.8595,380.14
2000,39.575,-69.0,368.0
2000,51.8478,-46.4337,372.71
2000,55.5325,-4.6824,568.98
2000,75.57,44.45,383.22
2000,77.88,43.25,383.88
2000,100.92,36.27,381.08
2000,111.0956,44.4516,380.39
2000,126.13,36.73,389.91
2000,144.656,13.386,401.5
2000,144.68,-40.68,368.24
2000,174.1,52.72,380.51
2000,174.871,-41.4083,368.43
2001,-177.37,28.22,375.98
2001,-170.57,-14.25,387.34
2001,-162.72,55.2,391.05
2001,-157.1518,1.7,372.3
2001,-156.6,71.32,391.84
2001,-155.58,19.53,375.39
2001,-154.82,19.52,379.27
2001,-123.73,38.95,389.46
2001,-113.7181,39.9018,402.77
2001,-109.45,-27.15,506.19
2001,-105.58,40.05,390.59
2001,-90.27,45.93,434.91
2001,-80.2,25.67,391.5
2001,-68.3106,-54.8484,414.33
2001,-64.8788,32.2647,378.34
2001,-64.6476,32.368,382.3
2001,-64.0527,-64.7742,372.26
2001,-62.5072,82.4508,437.91
2001,-59.432,13.165,380.08
2001,-38.422,72.5962,451.7
2001,-27.08,38.75,464.3
2001,-26.21,-75.605,371.73
2001,-24.8,-89.98,372.0
2001,-20.2884,63.3998,544.4
2001,-16.48,28.3,376.13
2001,-14.4,-7.9667,372.73
2001,-9.9,53.33,513.99
2001,2.0,66.0,821.58
2001,5.6322,23.2625,375.01
2001,11.8883,78.9067,379.75
2001,15.03,-23.58,368.48
2001,16.6521,46.9559,399.57
2001,16.67,55.5,422.7
2001,24.12,67.97,378.53
2001,28.6647,44.1776,402.41
2001,34.7809,30.8595,381.72
2001,39.575,-69.0,370.39
2001,51.8478,-46.4337,371.0
2001,55.5325,-4.6824,375.73
2001,75.57,44.45,387.0
2001,77.88,43.25,386.04
2001,100.92,36.27,376.33
2001,111.0956,44.4516,380.26
2001,126.13,36.73,612.28
2001,144.656,13.386,380.88
2001,144.68,-40.68,370.02
2001,174.1,52.72,381.58
2001,174.871,-41.4083,369.57
2002,-177.37,28.22,393.7
2002,-170.57,-14.25,376.14
2002,-162.72,55.2,432.88
2002,-157.1518,1.7,376.21
2002,-156.6,71.32,381.2
2002,-155.58,19.53,376.77
2002,-154.82,19.52,379.54
2002,-124.15,41.05,390.68
2002,-123.73,38.95,404.56
2002,-113.7181,39.9018,379.84
2002,-109.45,-27.15,385.74
2002,-105.58,40.05,381.01
2002,-97.48,36.62,389.56
2002,-90.27,45.93,555.3
2002,-80.2,25.67,396.04
2002,-68.3106,-54.8484,379.75
2002,-64.8788,32.2647,377.55
2002,-64.6476,32.368,378.19
2002,-64.0527,-64.7742,372.44
2002,-62.5072,82.4508,408.29
2002,-59.432,13.165,376.52
2002,-38.422,72.5962,389.94
2002,-27.08,38.75,378.3
2002,-26.21,-75.605,377.19
2002,-24.8,-89.98,376.63
2002,-20.2884,63.3998,549.46
2002,-16.48,28.3,384.38
2002,-14.4,-7.9667,382.08
2002,-9.9,53.33,397.25
2002,2.0,66.0,391.23
